name,elected,party,constituency,votes,history,club,dob,education,expired,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate,party_name,party_acronym
Adam Abramowicz,09-10-2011,Prawo i Sprawiedliwość,7 Chełm,12708,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"10-03-1961, Biała Podlaska",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Małgorzata Adamczak,09-10-2011,Platforma Obywatelska,36 Kalisz,18119,senator VII kadencji,Klub Parlamentarny Platforma Obywatelska,"27-03-1971, Kościan",wyższe,2014-12-01,0:0:0:0:0:0:1,0:0:0:0:0:0:1:1,2,2,2,2,Platforma Obywatelska,PO
Andrzej Adamczyk,09-10-2011,Prawo i Sprawiedliwość,13 Kraków,14297,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-01-1959, Krzeszowice",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Romuald Ajchler,09-10-2011,Sojusz Lewicy Demokratycznej,38 Piła,9362,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"19-01-1949, Duszniki Wlkp.",średnie zawodowe,None,0:1:1:1:0:1:1,0:0:0:0:0:0:0:1,3,1,6,1,Sojusz Lewicy Demokratycznej,SLD
Leszek Aleksandrzak,09-10-2011,Sojusz Lewicy Demokratycznej,36 Kalisz,9941,poseł VI kadencji,Klub Poselski Sojusz Lewicy Demokratycznej,"08-08-1958, Opatówek",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Sojusz Lewicy Demokratycznej,SLD
Waldemar Andzel,09-10-2011,Prawo i Sprawiedliwość,32 Sosnowiec,10328,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"17-09-1971, Czeladź",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Dorota Arciszewska-Mielewczyk,09-10-2011,Prawo i Sprawiedliwość,26 Gdynia,18088,"poseł III kadencji, poseł IV kadencji, senator VI kadencji, senator VII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"16-02-1968, Gdynia",wyższe,None,0:0:1:1:0:0:1,0:0:0:0:0:1:1:1,2,3,4,3,Prawo i Sprawiedliwość,PiS
Jan Krzysztof Ardanowski,09-10-2011,Prawo i Sprawiedliwość,5 Toruń,14841,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"11-02-1961, Czernikowo",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Iwona Ewa Arent,09-10-2011,Prawo i Sprawiedliwość,35 Olsztyn,11955,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"04-06-1968, Olsztyn",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Tadeusz Arkit,09-10-2011,Platforma Obywatelska,12 Kraków,12458,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"10-11-1955, Tenczynek",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Bartosz Arłukowicz,09-10-2011,Platforma Obywatelska,41 Szczecin,101746,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"30-12-1971, Resko",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Paweł Arndt,09-10-2011,Platforma Obywatelska,37 Konin,12627,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"21-01-1954, Gniezno",wyższe,None,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1,Platforma Obywatelska,PO
Marek Ast,09-10-2011,Prawo i Sprawiedliwość,8 Zielona Góra,12598,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-09-1958, Zielona Góra",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Urszula Augustyn,09-10-2011,Platforma Obywatelska,15 Tarnów,9724,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"01-09-1964, Tarnów",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Tadeusz Aziewicz,09-10-2011,Platforma Obywatelska,26 Gdynia,14013,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"31-10-1960, Sopot",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Zbigniew Babalski,09-10-2011,Prawo i Sprawiedliwość,34 Elbląg,7217,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"27-04-1953, Ostróda",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
